Iterations	Score	Mean Score	Max Snake Lengths	Nb Turns
0	-40	-40	3	9
1	-5	-22	3	2
2	-20	-21	3	5
3	0	-16	3	1
4	0	-13	3	1
5	0	-10	3	1
6	-5	-10	3	2
7	-45	-14	3	10
8	-5	-13	3	2
9	500	38	4	2
10	-10	33	3	3
11	0	30	3	1
12	-10	27	3	3
13	0	25	3	1
14	-10	23	3	3
15	-10	21	3	3
16	-15	19	3	4
17	-5	17	3	2
18	-15	16	3	4
19	-500	-9	2	2
20	-5	-9	3	2
21	-25	-10	3	6
22	0	-9	3	1
23	0	-9	3	1
24	0	-9	3	1
25	-20	-9	3	5
26	-25	-10	3	6
27	0	-9	3	1
28	0	-9	3	1
29	480	7	4	6
30	-15	6	3	4
31	0	6	3	1
32	0	5	3	1
33	0	5	3	1
34	0	5	3	1
35	-20	4	3	5
36	0	4	3	1
37	0	4	3	1
38	0	4	3	1
39	-15	4	3	4
40	-15	3	3	4
41	0	3	3	1
42	0	3	3	1
43	0	3	3	1
44	-55	2	3	12
45	0	1	3	1
46	-25	1	3	6
47	440	10	4	14
48	950	29	5	13
49	-20	28	3	5
50	-5	28	3	2
51	-5	27	3	2
52	-20	26	3	5
53	-15	25	3	4
54	390	32	4	24
55	-10	31	3	3
56	0	31	3	1
57	-10	30	3	3
58	0	29	3	1
59	-70	28	3	15
60	490	35	4	4
61	-5	35	3	2
62	-50	33	3	11
63	-55	32	3	12
64	-20	31	3	5
65	-15	30	3	4
66	-45	29	3	10
67	-65	28	3	14
68	-5	27	3	2
69	0	27	3	1
70	0	27	3	1
71	-25	26	3	6
72	-45	25	3	10
73	440	30	4	14
74	0	30	3	1
75	-65	29	3	14
76	-15	28	3	4
77	-5	28	3	2
78	0	27	3	1
79	-80	26	3	17
80	-10	26	3	3
81	485	31	4	5
82	485	37	4	5
83	465	42	4	9
84	-30	41	3	7
85	-25	40	3	6
86	-10	40	3	3
87	-140	38	3	31
88	490	43	4	4
89	-55	42	3	12
90	855	50	5	32
91	-50	49	3	11
92	-15	49	3	4
93	-5	48	3	2
94	-25	47	3	6
95	-35	46	3	8
96	-20	46	3	5
97	-75	45	3	16
98	-25	44	3	6
99	-60	43	3	13
100	0	42	3	1
101	0	42	3	1
102	-140	40	3	29
103	-10	40	3	3
104	475	44	4	7
105	415	47	4	19
106	-35	47	3	8
107	-10	46	3	3
108	-10	45	3	3
109	0	45	3	1
110	-20	44	3	5
111	-5	44	3	2
112	-30	43	3	7
113	-25	43	3	6
114	-25	42	3	6
115	-5	42	3	2
116	-5	41	3	2
117	0	41	3	1
118	0	41	3	1
119	-185	39	3	38
120	-10	38	3	3
121	-5	38	3	2
122	-10	38	3	3
123	420	41	4	18
124	0	40	3	1
125	-70	39	3	15
126	-35	39	3	8
127	-30	38	3	7
128	-80	37	3	17
129	285	39	4	45
130	-20	39	3	5
131	0	39	3	1
132	-35	38	3	8
133	425	41	4	17
134	0	41	3	1
135	485	44	4	5
136	-20	43	3	5
137	-560	39	2	14
138	-35	38	3	8
139	-145	37	3	30
140	-5	37	3	2
141	490	40	4	4
142	-110	39	3	23
143	-5	39	3	2
144	-20	38	3	5
145	-15	38	3	4
146	-5	38	3	2
147	-50	37	3	11
148	-90	36	3	19
149	-55	36	3	12
150	405	38	4	21
151	-35	37	3	8
152	-5	37	3	2
153	-40	37	3	9
154	-5	36	3	2
155	-15	36	3	4
156	-30	36	3	7
157	-25	35	3	6
158	-130	34	3	27
159	-45	34	3	10
160	0	34	3	1
161	-30	33	3	7
162	450	36	4	12
163	960	41	5	11
164	-95	41	3	20
165	455	43	4	11
166	405	45	4	21
167	0	45	3	1
168	-160	44	3	33
169	390	46	4	24
170	325	47	4	37
171	0	47	3	1
172	-10	47	3	3
173	-5	46	3	2
174	920	51	5	19
175	-25	51	3	6
176	0	51	3	1
177	0	50	3	1
178	-80	50	3	17
179	470	52	4	8
180	-20	52	3	5
181	490	54	4	4
182	-15	54	3	4
183	3345	72	10	39
184	-15	71	3	4
185	-10	71	3	3
186	-15	70	3	4
187	855	74	5	32
